GD71_stisnic_003.ascii  CALSPEC Feb2010
CALSPEC Feb2010
4104
       1406.62   2.07960e-12
       1407.21   2.08060e-12
       1407.79   2.08360e-12
       1408.38   2.08070e-12
       1408.96   2.08680e-12
       1409.54   2.07310e-12
       1410.13   2.07990e-12
       1410.71   2.07950e-12
       1411.30   2.08100e-12
       1411.88   2.07860e-12
       1412.46   2.06950e-12
       1413.05   2.06540e-12
       1413.63   2.06340e-12
       1414.21   2.06220e-12
       1414.80   2.06130e-12
       1415.38   2.05080e-12
       1415.97   2.04510e-12
       1416.55   2.03940e-12
       1417.13   2.04510e-12
       1417.72   2.03840e-12
       1418.30   2.03140e-12
       1418.89   2.02840e-12
       1419.47   2.03250e-12
       1420.05   2.01510e-12
       1420.64   2.01490e-12
       1421.22   2.00720e-12
       1421.80   2.00720e-12
       1422.39   1.99850e-12
       1422.97   1.99660e-12
       1423.56   2.00360e-12
       1424.14   1.99600e-12
       1424.72   1.99850e-12
       1425.31   2.00000e-12
       1425.89   1.99740e-12
       1426.48   2.00630e-12
       1427.06   1.99650e-12
       1427.64   1.99280e-12
       1428.23   1.99120e-12
       1428.81   1.99260e-12
       1429.39   1.98700e-12
       1429.98   1.98580e-12
       1430.56   1.97550e-12
       1431.15   1.97440e-12
       1431.73   1.97040e-12
       1432.31   1.97200e-12
       1432.90   1.97340e-12
       1433.48   1.95930e-12
       1434.06   1.95900e-12
       1434.65   1.96270e-12
       1435.23   1.96750e-12
       1435.82   1.95910e-12
       1436.40   1.95360e-12
       1436.98   1.95030e-12
       1437.57   1.95160e-12
       1438.15   1.94990e-12
       1438.74   1.94250e-12
       1439.32   1.93020e-12
       1439.90   1.94010e-12
       1440.49   1.92770e-12
       1441.07   1.92940e-12
       1441.65   1.93410e-12
       1442.24   1.92460e-12
       1442.82   1.92930e-12
       1443.41   1.92830e-12
       1443.99   1.92370e-12
       1444.57   1.91990e-12
       1445.16   1.92900e-12
       1445.74   1.91750e-12
       1446.32   1.90900e-12
       1446.91   1.91170e-12
       1447.49   1.91780e-12
       1448.08   1.90350e-12
       1448.66   1.90160e-12
       1449.24   1.89950e-12
       1449.83   1.90280e-12
       1450.41   1.89020e-12
       1451.00   1.88960e-12
       1451.58   1.89040e-12
       1452.16   1.88880e-12
       1452.75   1.88890e-12
       1453.33   1.88920e-12
       1453.91   1.88500e-12
       1454.50   1.87840e-12
       1455.08   1.86200e-12
       1455.67   1.86910e-12
       1456.25   1.86380e-12
       1456.83   1.87010e-12
       1457.42   1.86080e-12
       1458.00   1.86160e-12
       1458.58   1.85720e-12
       1459.17   1.85930e-12
       1459.75   1.85120e-12
       1460.34   1.85210e-12
       1460.92   1.84440e-12
       1461.50   1.83270e-12
       1462.09   1.83690e-12
       1462.67   1.84470e-12
       1463.25   1.84440e-12
       1463.84   1.84150e-12
       1464.42   1.84380e-12
       1465.01   1.83160e-12
       1465.59   1.83140e-12
       1466.17   1.83290e-12
       1466.76   1.83180e-12
       1467.34   1.82930e-12
       1467.93   1.82590e-12
       1468.51   1.82720e-12
       1469.09   1.82270e-12
       1469.68   1.82090e-12
       1470.26   1.81780e-12
       1470.84   1.81610e-12
       1471.43   1.81030e-12
       1472.01   1.80600e-12
       1472.60   1.80700e-12
       1473.18   1.80010e-12
       1473.76   1.79240e-12
       1474.35   1.79410e-12
       1474.93   1.79480e-12
       1475.51   1.79480e-12
       1476.10   1.78510e-12
       1476.68   1.78010e-12
       1477.27   1.79090e-12
       1477.85   1.78900e-12
       1478.43   1.78230e-12
       1479.02   1.77800e-12
       1479.60   1.78190e-12
       1480.18   1.77960e-12
       1480.77   1.78310e-12
       1481.35   1.76910e-12
       1481.94   1.76380e-12
       1482.52   1.77160e-12
       1483.10   1.76540e-12
       1483.69   1.76790e-12
       1484.27   1.76590e-12
       1484.85   1.76660e-12
       1485.44   1.75390e-12
       1486.02   1.74400e-12
       1486.61   1.74380e-12
       1487.19   1.74490e-12
       1487.77   1.73660e-12
       1488.36   1.73970e-12
       1488.94   1.74290e-12
       1489.52   1.74150e-12
       1490.11   1.73650e-12
       1490.69   1.73170e-12
       1491.28   1.72140e-12
       1491.86   1.71620e-12
       1492.44   1.71600e-12
       1493.03   1.71160e-12
       1493.61   1.71340e-12
       1494.19   1.72120e-12
       1494.78   1.71590e-12
       1495.36   1.71230e-12
       1495.95   1.70830e-12
       1496.53   1.71070e-12
       1497.11   1.70740e-12
       1497.70   1.70930e-12
       1498.28   1.69570e-12
       1498.86   1.70260e-12
       1499.45   1.70440e-12
       1500.03   1.70570e-12
       1500.62   1.70030e-12
       1501.20   1.69480e-12
       1501.78   1.69160e-12
       1502.37   1.68930e-12
       1502.95   1.68030e-12
       1503.53   1.67280e-12
       1504.12   1.67880e-12
       1504.70   1.67710e-12
       1505.29   1.66440e-12
       1505.87   1.66520e-12
       1506.45   1.66630e-12
       1507.04   1.65910e-12
       1507.62   1.67100e-12
       1508.20   1.67110e-12
       1508.79   1.66690e-12
       1509.37   1.66980e-12
       1509.96   1.66180e-12
       1510.54   1.66190e-12
       1511.12   1.66270e-12
       1511.71   1.66370e-12
       1512.29   1.66120e-12
       1512.87   1.66090e-12
       1513.46   1.65470e-12
       1514.04   1.65670e-12
       1514.63   1.65420e-12
       1515.21   1.64830e-12
       1515.79   1.64480e-12
       1516.38   1.64430e-12
       1516.96   1.63480e-12
       1517.54   1.63420e-12
       1518.13   1.63760e-12
       1518.71   1.63460e-12
       1519.30   1.62670e-12
       1519.88   1.62860e-12
       1520.46   1.62530e-12
       1521.05   1.62590e-12
       1521.63   1.62310e-12
       1522.21   1.61300e-12
       1522.80   1.61190e-12
       1523.38   1.61870e-12
       1523.97   1.61300e-12
       1524.55   1.60980e-12
       1525.13   1.60840e-12
       1525.72   1.59970e-12
       1526.30   1.60400e-12
       1526.88   1.59700e-12
       1527.47   1.60200e-12
       1528.05   1.60000e-12
       1528.64   1.59260e-12
       1529.22   1.59650e-12
       1529.80   1.59480e-12
       1530.39   1.58640e-12
       1530.97   1.58070e-12
       1531.55   1.58030e-12
       1532.14   1.58220e-12
       1532.72   1.57860e-12
       1533.30   1.57670e-12
       1533.89   1.58150e-12
       1534.47   1.57710e-12
       1535.06   1.57300e-12
       1535.64   1.56750e-12
       1536.22   1.57220e-12
       1536.81   1.56300e-12
       1537.39   1.55950e-12
       1537.97   1.56180e-12
       1538.56   1.56150e-12
       1539.14   1.56080e-12
       1539.73   1.55700e-12
       1540.31   1.54590e-12
       1540.89   1.53770e-12
       1541.48   1.54600e-12
       1542.06   1.54820e-12
       1542.64   1.54490e-12
       1543.23   1.54640e-12
       1543.81   1.54900e-12
       1544.40   1.54800e-12
       1544.98   1.54410e-12
       1545.56   1.55010e-12
       1546.15   1.54260e-12
       1546.73   1.53950e-12
       1547.31   1.53620e-12
       1547.90   1.50930e-12
       1548.48   1.50990e-12
       1549.07   1.51610e-12
       1549.65   1.52010e-12
       1550.23   1.51230e-12
       1550.82   1.50180e-12
       1551.40   1.50730e-12
       1551.98   1.50870e-12
       1552.57   1.51770e-12
       1553.15   1.51370e-12
       1553.73   1.51330e-12
       1554.32   1.51040e-12
       1554.90   1.51860e-12
       1555.49   1.50550e-12
       1556.07   1.50360e-12
       1556.65   1.49620e-12
       1557.24   1.50770e-12
       1557.82   1.51090e-12
       1558.40   1.50180e-12
       1558.99   1.50100e-12
       1559.57   1.50390e-12
       1560.16   1.49860e-12
       1560.74   1.48620e-12
       1561.32   1.48740e-12
       1561.91   1.48940e-12
       1562.49   1.48540e-12
       1563.07   1.48130e-12
       1563.66   1.48750e-12
       1564.24   1.48050e-12
       1564.82   1.47610e-12
       1565.41   1.47720e-12
       1565.99   1.47000e-12
       1566.58   1.46980e-12
       1567.16   1.45990e-12
       1567.74   1.47020e-12
       1568.33   1.46120e-12
       1568.91   1.47150e-12
       1569.49   1.46790e-12
       1570.08   1.46140e-12
       1570.66   1.45510e-12
       1571.25   1.46290e-12
       1571.83   1.46640e-12
       1572.41   1.45300e-12
       1573.00   1.45070e-12
       1573.58   1.45890e-12
       1574.16   1.45810e-12
       1574.75   1.45870e-12
       1575.33   1.43670e-12
       1575.91   1.43970e-12
       1576.50   1.43910e-12
       1577.08   1.43260e-12
       1577.67   1.44030e-12
       1578.25   1.43380e-12
       1578.83   1.43350e-12
       1579.42   1.43050e-12
       1580.00   1.42500e-12
       1580.58   1.42650e-12
       1581.17   1.43520e-12
       1581.75   1.43020e-12
       1582.34   1.43040e-12
       1582.92   1.42460e-12
       1583.50   1.40430e-12
       1584.09   1.41660e-12
       1584.67   1.41760e-12
       1585.25   1.41710e-12
       1585.84   1.41350e-12
       1586.42   1.40940e-12
       1587.00   1.41270e-12
       1587.59   1.41530e-12
       1588.17   1.40450e-12
       1588.76   1.40380e-12
       1589.34   1.40920e-12
       1589.92   1.40390e-12
       1590.51   1.40210e-12
       1591.09   1.40880e-12
       1591.67   1.40640e-12
       1592.26   1.40720e-12
       1592.84   1.39550e-12
       1593.42   1.39360e-12
       1594.01   1.38740e-12
       1594.59   1.38430e-12
       1595.18   1.39080e-12
       1595.76   1.39200e-12
       1596.34   1.38820e-12
       1596.93   1.38450e-12
       1597.51   1.38110e-12
       1598.09   1.38070e-12
       1598.68   1.37000e-12
       1599.26   1.37560e-12
       1599.84   1.37030e-12
       1600.43   1.36730e-12
       1601.01   1.37320e-12
       1601.60   1.37300e-12
       1602.18   1.36210e-12
       1602.76   1.35700e-12
       1603.35   1.35210e-12
       1603.93   1.35560e-12
       1604.51   1.36280e-12
       1605.10   1.34910e-12
       1605.68   1.34650e-12
       1606.27   1.34800e-12
       1606.85   1.34450e-12
       1607.43   1.35030e-12
       1608.02   1.34430e-12
       1608.60   1.35360e-12
       1609.18   1.35270e-12
       1609.77   1.34560e-12
       1610.35   1.34270e-12
       1610.93   1.34260e-12
       1611.52   1.32830e-12
       1612.10   1.32940e-12
       1612.69   1.34070e-12
       1613.27   1.34270e-12
       1613.85   1.33830e-12
       1614.44   1.33880e-12
       1615.02   1.34170e-12
       1615.60   1.33270e-12
       1616.19   1.34620e-12
       1616.77   1.34660e-12
       1617.35   1.34000e-12
       1617.94   1.32540e-12
       1618.52   1.31840e-12
       1619.11   1.31750e-12
       1619.69   1.31850e-12
       1620.27   1.31080e-12
       1620.86   1.30360e-12
       1621.44   1.30470e-12
       1622.02   1.30820e-12
       1622.61   1.30460e-12
       1623.19   1.30290e-12
       1623.77   1.30140e-12
       1624.36   1.30520e-12
       1624.94   1.29860e-12
       1625.53   1.30220e-12
       1626.11   1.31060e-12
       1626.69   1.30940e-12
       1627.28   1.30730e-12
       1627.86   1.29750e-12
       1628.44   1.30550e-12
       1629.03   1.30400e-12
       1629.61   1.29900e-12
       1630.19   1.29930e-12
       1630.78   1.29990e-12
       1631.36   1.29530e-12
       1631.94   1.28880e-12
       1632.53   1.27680e-12
       1633.11   1.27980e-12
       1633.70   1.28020e-12
       1634.28   1.28570e-12
       1634.86   1.27910e-12
