# CALSPEC 2024-06
# gj7541a_stis_004.fits
# Trimmed to 3000-10000 A.
# Error is square-added statistical and systematic.
# Wavelength (Angstrom)  Flux (erg/s/cm2/A)  Error (erg/s/cm2/A)
#
4097.509277  8.599199775643704e-14  1.0040249983137278e-15
4100.257324  8.513400081471348e-14  9.2704378533106e-16
4103.005859  8.464199664510313e-14  9.209005730019797e-16
4105.753906  8.600099663446867e-14  9.339870202788219e-16
4108.502441  8.447599851623203e-14  9.193947601799984e-16
4111.250488  8.412399872840745e-14  9.158094814725078e-16
4113.999023  8.580699898449312e-14  9.325099006979288e-16
4116.74707  8.519300174168742e-14  9.256464986054456e-16
4119.495605  8.446800252520995e-14  9.185337511891144e-16
4122.243652  8.496800268584237e-14  9.242791756703403e-16
4124.992188  8.452999856068538e-14  9.193672316092126e-16
4127.740234  8.482599930630108e-14  9.219875280315438e-16
4130.488281  8.452400156741882e-14  9.187466740962305e-16
4133.236816  8.520399961747457e-14  9.266613499553746e-16
4135.984863  8.430499950484033e-14  9.163046781092963e-16
4138.73291  8.427399809897082e-14  9.15886349712471e-16
4141.481445  8.377899882085899e-14  9.107364952722834e-16
4144.229492  8.467999793124875e-14  9.197522080837397e-16
4146.977539  8.441699758925808e-14  9.173469521508927e-16
4149.726074  8.404199916284966e-14  9.130040024720831e-16
4152.474121  8.403199739780848e-14  9.13040954284407e-16
4155.222168  8.346500031918003e-14  9.076483190257126e-16
4157.970703  8.313500305919333e-14  9.032601589633433e-16
4160.71875  8.381199922448401e-14  9.108872671368946e-16
4163.466797  8.320399897494488e-14  9.042864452580603e-16
4166.214844  8.332500271365784e-14  9.048141467841997e-16
4168.962891  8.402499751753237e-14  9.117957099728249e-16
4171.711426  8.364699720635888e-14  9.082940757688756e-16
4174.459473  8.238600231712245e-14  8.955968401312968e-16
4177.20752  8.318900310364669e-14  9.034838815405368e-16
4179.955566  8.122900274501813e-14  8.825934020832856e-16
4182.703613  8.338199786661268e-14  9.048179584324623e-16
4185.45166  8.230899685782167e-14  8.943166557106403e-16
4188.200195  8.195900284401619e-14  8.91339970175752e-16
4190.948242  8.303600184831825e-14  9.012956778004237e-16
4193.696289  8.281699978573975e-14  8.986638405541862e-16
4196.444336  8.22479969330922e-14  8.926632473976e-16
4199.192383  8.180800058644327e-14  8.883220976638032e-16
4201.94043  8.067299676591325e-14  8.769291868858777e-16
4204.688477  8.092600211912632e-14  8.792298342497388e-16
4207.436523  8.101899956047126e-14  8.802930723567797e-16
4210.18457  8.183000311428115e-14  8.88922749902525e-16
4212.932617  8.082399902348616e-14  8.777792903275658e-16
4215.680664  8.172699713163145e-14  8.877518856716235e-16
4218.428711  8.140500263893041e-14  8.840145645501007e-16
4221.17627  8.071799793233497e-14  8.761797744857944e-16
